CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
19,1.0,1.0,1.0,2.0,W,30,1,23,,,,5,26,2016,5.0,2016.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,77,1,2,,,,4,21,2016,5.0,2016.0,6,02,45,999.0
19,1.0,2.0,1.0,2.0,W,22,1,23,,,,1,17,2016,1.0,2016.0,1,02,62,0.0
19,1.0,1.0,1.0,2.0,B,33,1,23,,,,9,7,2016,4.0,2016.0,2,02,62,0.0
19,1.0,1.0,1.0,2.0,W,24,1,23,,,,10,19,2016,4.0,2016.0,2,02,62,0.0
19,1.0,2.0,1.0,2.0,H,23,1,23,,,,10,24,2016,2.0,2016.0,2,13,62,0.0
19,1.0,1.0,1.0,2.0,H,39,1,2,,,,1,8,2016,6.0,2016.0,2,16,62,0.0
19,1.0,1.0,1.0,1.0,W,32,1,29,,,,3,23,2016,4.0,2016.0,2,16,62,0.0
19,1.0,1.0,1.0,2.0,H,41,1,23,,,,4,7,2016,5.0,2016.0,7,02,62,0.0
19,1.0,1.0,1.0,2.0,H,32,1,4,,,,4,12,2016,3.0,2016.0,2,24,62,0.0
19,1.0,1.0,1.0,1.0,B,20,1,22,,,,4,20,2016,4.0,2016.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,26,1,4,,,,5,20,2016,6.0,2016.0,2,24,62,0.0
19,1.0,1.0,1.0,1.0,W,48,1,29,,,,7,8,2016,6.0,2016.0,11,02,62,0.0
19,1.0,1.0,1.0,2.0,W,85,1,2,,,,7,25,2016,2.0,2016.0,2,24,62,0.0
19,1.0,1.0,1.0,1.0,B,34,1,3,,,,8,27,2016,7.0,2016.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,43,1,23,,,,11,17,2016,5.0,2016.0,2,16,62,0.0
19,1.0,1.0,1.0,2.0,B,47,1,23,,,,11,27,2016,1.0,2016.0,7,01,62,0.0
19,1.0,1.0,1.0,2.0,B,50,1,23,,,,12,3,2016,7.0,2016.0,7,16,62,0.0
19,1.0,1.0,1.0,1.0,H,21,1,22,,,,3,1,2016,3.0,2016.0,6,00,62,0.0
19,1.0,1.0,1.0,2.0,D,40,1,23,,,,4,13,2016,4.0,2016.0,6,02,62,0.0
19,1.0,1.0,1.0,2.0,W,29,1,23,,,,12,5,2016,2.0,2016.0,25,99,62,0.0
19,1.0,1.0,1.0,2.0,W,58,1,23,,,,3,12,2016,7.0,2016.0,7,15,62,0.0
19,1.0,1.0,1.0,2.0,H,23,1,23,,,,6,9,2016,5.0,2016.0,15,15,62,0.0
19,1.0,1.0,1.0,2.0,H,16,1,23,,,,8,12,2016,6.0,2016.0,6,02,62,0.0
19,1.0,1.0,1.0,2.0,B,32,1,2,,,,4,3,2016,1.0,2016.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,33,1,2,,,,7,4,2016,2.0,2016.0,8,24,62,0.0
19,1.0,1.0,1.0,2.0,A,50,1,2,,,,9,29,2016,5.0,2016.0,2,24,62,0.0
26,1.0,1.0,1.0,2.0,W,75,1,2,,,,6,19,2016,1.0,2016.0,1,02,62,999.0
30,1.0,1.0,1.0,2.0,H,42,1,25,,,,5,12,2016,5.0,2016.0,2,06,62,0.0
30,1.0,1.0,1.0,2.0,O,59,1,2,,,,6,16,2016,5.0,2016.0,2,13,62,0.0
